exercise_id,exercise_name,group,video_url,review_status
leap_butterfly_pose,Butterfly Pose,Yoga & Poses,https://www.youtube.com/watch?v=seRyFNh7boQ,needs_human_review
leap_easy_kneeling_hamstring_stretch,Easy Kneeling Hamstring Stretch,Mobility & Stretch,https://www.youtube.com/watch?v=TxuyL_xwFIE,needs_human_review
leap_kneeling_hamstring_stretch,Kneeling Hamstring Stretch,Mobility & Stretch,https://www.youtube.com/watch?v=lWi7rZWJ2cY,needs_human_review
leap_runner_s_lunge,Runner's Lunge,Lunges,https://www.youtube.com/watch?v=6ikwduxu0JU,needs_human_review
leap_tree_pose,Tree Pose,Yoga & Poses,https://www.youtube.com/watch?v=sxymAjTuUx0,needs_human_review
leap_corpse_pose,Corpse Pose,Yoga & Poses,https://www.youtube.com/watch?v=Ns8TW7y-abA,needs_human_review
leap_bow_pose,Bow Pose,Yoga & Poses,https://www.youtube.com/watch?v=inetVHah2NE,needs_human_review
leap_push_up_hold,Push Up Hold,Push-ups & Pressing,https://www.youtube.com/watch?v=16-WWEQNiK0,needs_human_review
leap_kneel_plank,Kneel Plank,Planks,https://www.youtube.com/watch?v=xNBL63AhZcc,needs_human_review
leap_lizard_pose,Lizard Pose,Yoga & Poses,https://www.youtube.com/watch?v=x8VZ3-rx2HE,needs_human_review
leap_sage_marichi_s_pose_iii,Sage Marichi's Pose Iii,Yoga & Poses,https://www.youtube.com/watch?v=bGzlOXYDkxg,needs_human_review
leap_boat_pose,Boat Pose,Core & Abs,https://www.youtube.com/watch?v=0-N8ty8OMts,needs_human_review
leap_straight_arm_knee_plank,Straight-Arm Knee Plank,Planks,https://www.youtube.com/watch?v=dKrVU3Fh8hw,needs_human_review
leap_pigeon_pose,Pigeon Pose,Yoga & Poses,https://www.youtube.com/watch?v=M9VNeCErXq8,needs_human_review
leap_spine_lumbar_twist_stretch,Spine Lumbar Twist Stretch,Mobility & Stretch,https://www.youtube.com/watch?v=nfhIuzZauTo,needs_human_review
leap_chair,Chair,Equipment,https://www.youtube.com/watch?v=8A7san5fxLY,needs_human_review
leap_fish_pose,Fish Pose,Yoga & Poses,https://www.youtube.com/watch?v=e3gBrBFM-3M,needs_human_review
leap_warrior_i,Warrior I,Yoga & Poses,https://www.youtube.com/watch?v=98h26Ayke0s,needs_human_review
leap_camel,Camel,Yoga & Poses,https://www.youtube.com/watch?v=SK6G-mPYHcg,needs_human_review
leap_shoulder_shrugs,Shoulder Shrugs,Arms & Shoulders,https://www.youtube.com/watch?v=lykMBrXHVKk,needs_human_review
leap_star_jumps,Star Jumps,Cardio & Jumps,https://www.youtube.com/watch?v=VVEO_J1tIXU,needs_human_review
leap_pendulum_swings,Pendulum Swings,Mobility & Stretch,https://www.youtube.com/watch?v=RN2qWm0f3eM,needs_human_review
leap_windshield_wipers,Windshield Wipers,Core & Abs,https://www.youtube.com/watch?v=fNf_IfTAVD0,needs_human_review
leap_leg_spreads,Leg Spreads,Other,https://www.youtube.com/watch?v=aZRDySUyC1I,needs_human_review
leap_back_bow_pulls,Back Bow Pulls,Yoga & Poses,https://www.youtube.com/watch?v=GvyCtKvmaVE,needs_human_review
leap_body_saw,Body Saw,Core & Abs,https://www.youtube.com/watch?v=CJHdCRhZCwY,needs_human_review
leap_prone_flutter_kicks,Prone Flutter Kicks,Core & Abs,https://www.youtube.com/watch?v=9i0J_I4ASow,needs_human_review
leap_sitting_hamstring_stretch,Sitting Hamstring Stretch,Mobility & Stretch,https://www.youtube.com/watch?v=ZGEPDiRpdm0,needs_human_review
leap_seated_butterfly_stretch,Seated Butterfly Stretch,Mobility & Stretch,https://www.youtube.com/watch?v=QehQaZvvquA,needs_human_review
leap_dumbbell_pullover_on_floor,Dumbbell Pullover on Floor,Dumbbell,https://www.youtube.com/watch?v=a3cF2sS5v6I,needs_human_review
leap_squat_jacks,Squat Jacks,Squats,https://www.youtube.com/watch?v=tcgvAxhEhvQ,needs_human_review
leap_crossbody_mountain_climber,Crossbody Mountain Climber,Cardio & Jumps,https://www.youtube.com/watch?v=tIEkB8S42j8,needs_human_review
leap_plank_hip_dips,Plank Hip Dips,Planks,https://www.youtube.com/watch?v=h1_Y3GBUd0M,needs_human_review
leap_dumbbell_close_grip_floor_press,Dumbbell Close Grip Floor Press,Dumbbell,https://www.youtube.com/watch?v=gDO6U_C1ktE,needs_human_review
leap_straight_arm_plank_to_pike,Straight Arm Plank to Pike,Planks,https://www.youtube.com/watch?v=d_B55dng_bs,needs_human_review
